transaction_id,date,time,branch,service_type,total_amount_aed,parts_cost_aed,labour_cost_aed,payment_method,status,month,quarter,day_of_week,is_void,revenue_aed
TXN-001000,2024-01-01,12:23,Dubai-Al Quoz,Tyre Replacement,865.44,293.89,571.55,Card,Completed,2024-01,Q1,Monday,False,865.44
TXN-001001,2024-01-01,08:38,Dubai-Al Quoz,Battery Replacement,339.44,121.23,218.21,Card,Completed,2024-01,Q1,Monday,False,339.44
TXN-001002,2024-01-01,18:44,Dubai-Al Quoz,AC Service,380.07,128.99,251.08,Cash,Completed,2024-01,Q1,Monday,False,380.07
TXN-001003,2024-01-01,17:09,Dubai-Al Quoz,Brake Service,486.82,155.77,331.05,Card,Completed,2024-01,Q1,Monday,False,486.82
TXN-001004,2024-01-01,15:00,Dubai-Al Quoz,Oil Change,179.37,70.32,109.05,Corporate Account,Completed,2024-01,Q1,Monday,False,179.37
TXN-001005,2024-01-01,10:00,Dubai-Al Quoz,Wheel Alignment,144.42,55.73,88.69,Card,Completed,2024-01,Q1,Monday,False,144.42
TXN-001006,2024-01-01,11:27,Dubai-Al Quoz,AC Service,379.47,138.51,240.96,Card,Completed,2024-01,Q1,Monday,False,379.47
TXN-001007,2024-01-01,16:17,Dubai-Al Quoz,Wheel Alignment,147.67,53.75,93.92,Cash,Completed,2024-01,Q1,Monday,False,147.67
TXN-001008,2024-01-01,12:16,Dubai-Al Quoz,Full Service,740.93,309.16,431.77,Cash,Completed,2024-01,Q1,Monday,False,740.93
TXN-001009,2024-01-01,13:15,Dubai-Al Quoz,Oil Change,185.37,71.11,114.26,Online,Completed,2024-01,Q1,Monday,False,185.37
TXN-001010,2024-01-01,12:13,Dubai-Al Quoz,Tyre Replacement,961.47,307.35,654.12,Card,Completed,2024-01,Q1,Monday,False,961.47
TXN-001011,2024-01-01,16:06,Dubai-Al Quoz,Tyre Replacement,932.84,350.08,582.76,Card,Completed,2024-01,Q1,Monday,False,932.84
TXN-001012,2024-01-01,19:29,Dubai-Al Quoz,Tyre Replacement,949.48,398.27,551.21,Card,Completed,2024-01,Q1,Monday,False,949.48
TXN-001013,2024-01-01,16:46,Dubai-Al Quoz,Oil Change,193.54,65.85,127.69,Card,Completed,2024-01,Q1,Monday,False,193.54
