invoice_number,invoice_date,branch,branch_trn,customer_type,customer_trn,service_category,subtotal_aed,vat_charged_aed,total_aed,is_taxable,month,quarter,b2b_missing_trn,branch_trn_valid,customer_trn_valid,recalc_vat_aed,vat_error_flag,correct_total_aed,total_mismatch_flag,exempt_vat_flag,clean_error_flag
GINV-DUB-2024-00001,2024-01-01,Dubai-Al Quoz,100234567890123,B2B,426296698765414.0,Fleet Contract,9932.22,496.61,10428.83,True,2024-01,Q1,False,True,False,496.61,False,10428.83,False,False,CLEAN
GINV-DUB-2024-00002,2024-01-01,Dubai-Al Quoz,100234567890123,B2B,807318779021855.0,Fleet Contract,9597.09,479.85,10076.94,True,2024-01,Q1,False,True,False,479.85,False,10076.94,False,False,CLEAN
GINV-DUB-2024-00003,2024-01-01,Dubai-Al Quoz,100234567890123,B2B,231186990372432.0,International Transport,1026.04,0.0,1026.04,False,2024-01,Q1,False,True,False,0.0,False,1026.04,False,False,CLEAN
GINV-DUB-2024-00004,2024-01-01,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,618.71,30.94,654.03,True,2024-01,Q1,False,True,False,30.94,False,649.65,True,False,TOTAL_MISMATCH
GINV-DUB-2024-00005,2024-01-01,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,558.81,27.94,586.75,True,2024-01,Q1,False,True,False,27.94,False,586.75,False,False,CLEAN
GINV-DUB-2024-00006,2024-01-01,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,491.67,24.58,516.25,True,2024-01,Q1,False,True,False,24.58,False,516.25,False,False,CLEAN
GINV-DUB-2024-00007,2024-01-01,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,523.69,26.18,549.87,True,2024-01,Q1,False,True,False,26.18,False,549.87,False,False,CLEAN
GINV-DUB-2024-00008,2024-01-01,Dubai-Al Quoz,100234567890123,B2B,689493190743137.0,Parts Supply,1102.11,55.11,1157.22,True,2024-01,Q1,False,True,False,55.11,False,1157.22,False,False,CLEAN
GINV-DUB-2024-00009,2024-01-01,Dubai-Al Quoz,100234567890123,B2B,834047881010728.0,Parts Supply,617.8,30.89,648.69,True,2024-01,Q1,False,True,False,30.89,False,648.69,False,False,CLEAN
GINV-DUB-2024-00010,2024-01-02,Dubai-Al Quoz,100234567890123,B2B,151680188603161.0,Vehicle Service,538.78,21.55,560.33,True,2024-01,Q1,False,True,False,26.94,True,565.72,True,False,VAT_RATE_ERROR|TOTAL_MISMATCH
GINV-DUB-2024-00011,2024-01-02,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,597.54,29.88,627.42,True,2024-01,Q1,False,True,False,29.88,False,627.42,False,False,CLEAN
GINV-DUB-2024-00012,2024-01-02,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,466.09,23.3,489.39,True,2024-01,Q1,False,True,False,23.3,False,489.39,False,False,CLEAN
GINV-DUB-2024-00013,2024-01-02,Dubai-Al Quoz,100234567890123,B2B,227682625542480.0,Detailing Package,277.45,13.87,291.32,True,2024-01,Q1,False,True,False,13.87,False,291.32,False,False,CLEAN
GINV-DUB-2024-00014,2024-01-02,Dubai-Al Quoz,100234567890123,B2B,495585372437749.0,Detailing Package,357.15,17.86,375.01,True,2024-01,Q1,False,True,False,17.86,False,375.01,False,False,CLEAN
