month,branch,category,budget_amount_aed,currency,fiscal_year,quarter
2024-01,Dubai-Al Quoz,Revenue,336000,AED,2024,Q1
2024-02,Dubai-Al Quoz,Revenue,384000,AED,2024,Q1
2024-03,Dubai-Al Quoz,Revenue,480000,AED,2024,Q1
2024-04,Dubai-Al Quoz,Revenue,480000,AED,2024,Q2
2024-05,Dubai-Al Quoz,Revenue,432000,AED,2024,Q2
2024-06,Dubai-Al Quoz,Revenue,384000,AED,2024,Q2
2024-07,Dubai-Al Quoz,Revenue,349855.36,AED,2024,Q3
2024-08,Dubai-Al Quoz,Revenue,355663.2,AED,2024,Q3
2024-09,Dubai-Al Quoz,Revenue,403952.57,AED,2024,Q3
2024-10,Dubai-Al Quoz,Revenue,452718.61,AED,2024,Q4
2024-11,Dubai-Al Quoz,Revenue,446982,AED,2024,Q4
2024-12,Dubai-Al Quoz,Revenue,397317.06,AED,2024,Q4
2024-01,Dubai-Al Quoz,Labour Cost,100800,AED,2024,Q1
2024-02,Dubai-Al Quoz,Labour Cost,115200,AED,2024,Q1
2024-03,Dubai-Al Quoz,Labour Cost,129600,AED,2024,Q1
2024-04,Dubai-Al Quoz,Labour Cost,129600,AED,2024,Q2
2024-05,Dubai-Al Quoz,Labour Cost,129600,AED,2024,Q2
2024-06,Dubai-Al Quoz,Labour Cost,129600,AED,2024,Q2
2024-07,Dubai-Al Quoz,Labour Cost,148570.92,AED,2024,Q3
2024-08,Dubai-Al Quoz,Labour Cost,152061.88,AED,2024,Q3
2024-09,Dubai-Al Quoz,Labour Cost,120733.45,AED,2024,Q3
2024-10,Dubai-Al Quoz,Labour Cost,121103.1,AED,2024,Q4
2024-11,Dubai-Al Quoz,Labour Cost,103886.25,AED,2024,Q4
2024-12,Dubai-Al Quoz,Labour Cost,91506.01,AED,2024,Q4
2024-01,Dubai-Al Quoz,Parts & Materials,75600,AED,2024,Q1
2024-02,Dubai-Al Quoz,Parts & Materials,86400,AED,2024,Q1
2024-03,Dubai-Al Quoz,Parts & Materials,97200,AED,2024,Q1
2024-04,Dubai-Al Quoz,Parts & Materials,97200,AED,2024,Q2
2024-05,Dubai-Al Quoz,Parts & Materials,97200,AED,2024,Q2
2024-06,Dubai-Al Quoz,Parts & Materials,97200,AED,2024,Q2
2024-07,Dubai-Al Quoz,Parts & Materials,113937.11,AED,2024,Q3
2024-08,Dubai-Al Quoz,Parts & Materials,111927.98,AED,2024,Q3
2024-09,Dubai-Al Quoz,Parts & Materials,89463.29,AED,2024,Q3
2024-10,Dubai-Al Quoz,Parts & Materials,89467.38,AED,2024,Q4
2024-11,Dubai-Al Quoz,Parts & Materials,78558.02,AED,2024,Q4
2024-12,Dubai-Al Quoz,Parts & Materials,67764.13,AED,2024,Q4
2024-01,Dubai-Al Quoz,Overhead,50000,AED,2024,Q1
2024-02,Dubai-Al Quoz,Overhead,50000,AED,2024,Q1
2024-03,Dubai-Al Quoz,Overhead,50000,AED,2024,Q1
2024-04,Dubai-Al Quoz,Overhead,50000,AED,2024,Q2
2024-05,Dubai-Al Quoz,Overhead,50000,AED,2024,Q2
2024-06,Dubai-Al Quoz,Overhead,50000,AED,2024,Q2
2024-07,Dubai-Al Quoz,Overhead,52147.92,AED,2024,Q3
2024-08,Dubai-Al Quoz,Overhead,51936.84,AED,2024,Q3
2024-09,Dubai-Al Quoz,Overhead,52417.78,AED,2024,Q3
2024-10,Dubai-Al Quoz,Overhead,51709.24,AED,2024,Q4
2024-11,Dubai-Al Quoz,Overhead,51938.22,AED,2024,Q4
2024-12,Dubai-Al Quoz,Overhead,52049.54,AED,2024,Q4
2024-01,Dubai-Al Quoz,Marketing,12000,AED,2024,Q1
2024-02,Dubai-Al Quoz,Marketing,14400,AED,2024,Q1
2024-03,Dubai-Al Quoz,Marketing,28800,AED,2024,Q1
2024-04,Dubai-Al Quoz,Marketing,24000,AED,2024,Q2
2024-05,Dubai-Al Quoz,Marketing,19200,AED,2024,Q2
2024-06,Dubai-Al Quoz,Marketing,16800,AED,2024,Q2
2024-07,Dubai-Al Quoz,Marketing,15029.02,AED,2024,Q3
2024-08,Dubai-Al Quoz,Marketing,15171.2,AED,2024,Q3
2024-09,Dubai-Al Quoz,Marketing,24863.77,AED,2024,Q3
2024-10,Dubai-Al Quoz,Marketing,30108.3,AED,2024,Q4
2024-11,Dubai-Al Quoz,Marketing,25146.54,AED,2024,Q4
2024-12,Dubai-Al Quoz,Marketing,19802.76,AED,2024,Q4
2024-01,Abu Dhabi-Mussafah,Revenue,262080,AED,2024,Q1
2024-02,Abu Dhabi-Mussafah,Revenue,299520,AED,2024,Q1
2024-03,Abu Dhabi-Mussafah,Revenue,374400,AED,2024,Q1
2024-04,Abu Dhabi-Mussafah,Revenue,374400,AED,2024,Q2
2024-05,Abu Dhabi-Mussafah,Revenue,336960,AED,2024,Q2
2024-06,Abu Dhabi-Mussafah,Revenue,299520,AED,2024,Q2
2024-07,Abu Dhabi-Mussafah,Revenue,274719.16,AED,2024,Q3
2024-08,Abu Dhabi-Mussafah,Revenue,271283.13,AED,2024,Q3
2024-09,Abu Dhabi-Mussafah,Revenue,309090.13,AED,2024,Q3
2024-10,Abu Dhabi-Mussafah,Revenue,356660.89,AED,2024,Q4
2024-11,Abu Dhabi-Mussafah,Revenue,356830.18,AED,2024,Q4
2024-12,Abu Dhabi-Mussafah,Revenue,315769.54,AED,2024,Q4
2024-01,Abu Dhabi-Mussafah,Labour Cost,78624,AED,2024,Q1
2024-02,Abu Dhabi-Mussafah,Labour Cost,89856,AED,2024,Q1
2024-03,Abu Dhabi-Mussafah,Labour Cost,101088,AED,2024,Q1
2024-04,Abu Dhabi-Mussafah,Labour Cost,101088,AED,2024,Q2
2024-05,Abu Dhabi-Mussafah,Labour Cost,101088,AED,2024,Q2
2024-06,Abu Dhabi-Mussafah,Labour Cost,101088,AED,2024,Q2
2024-07,Abu Dhabi-Mussafah,Labour Cost,116716.03,AED,2024,Q3
2024-08,Abu Dhabi-Mussafah,Labour Cost,116018.72,AED,2024,Q3
2024-09,Abu Dhabi-Mussafah,Labour Cost,94396.15,AED,2024,Q3
2024-10,Abu Dhabi-Mussafah,Labour Cost,93738.19,AED,2024,Q4
2024-11,Abu Dhabi-Mussafah,Labour Cost,81270.57,AED,2024,Q4
2024-12,Abu Dhabi-Mussafah,Labour Cost,70414.89,AED,2024,Q4
2024-01,Abu Dhabi-Mussafah,Parts & Materials,58968,AED,2024,Q1
2024-02,Abu Dhabi-Mussafah,Parts & Materials,67392,AED,2024,Q1
2024-03,Abu Dhabi-Mussafah,Parts & Materials,75816,AED,2024,Q1
2024-04,Abu Dhabi-Mussafah,Parts & Materials,75816,AED,2024,Q2
2024-05,Abu Dhabi-Mussafah,Parts & Materials,75816,AED,2024,Q2
2024-06,Abu Dhabi-Mussafah,Parts & Materials,75816,AED,2024,Q2
2024-07,Abu Dhabi-Mussafah,Parts & Materials,86854.11,AED,2024,Q3
2024-08,Abu Dhabi-Mussafah,Parts & Materials,89065.23,AED,2024,Q3
2024-09,Abu Dhabi-Mussafah,Parts & Materials,69936.95,AED,2024,Q3
2024-10,Abu Dhabi-Mussafah,Parts & Materials,70753.22,AED,2024,Q4
2024-11,Abu Dhabi-Mussafah,Parts & Materials,61288.47,AED,2024,Q4
2024-12,Abu Dhabi-Mussafah,Parts & Materials,52848.91,AED,2024,Q4
2024-01,Abu Dhabi-Mussafah,Overhead,39000,AED,2024,Q1
2024-02,Abu Dhabi-Mussafah,Overhead,39000,AED,2024,Q1
