transaction_id,date,time,branch,service_type,total_amount_aed,parts_cost_aed,labour_cost_aed,payment_method,status,month,quarter,day_of_week
TXN-001000,1/1/2024,12:23,Dubai-Al Quoz,Tyre Replacement,865.44,293.89,571.55,Card,Completed,2024-01,Q1,Monday
TXN-001001,1/1/2024,8:38,Dubai-Al Quoz,Battery Replacement,339.44,121.23,218.21,Card,Completed,2024-01,Q1,Monday
TXN-001002,1/1/2024,18:44,Dubai-Al Quoz,AC Service,380.07,128.99,251.08,Cash,Completed,2024-01,Q1,Monday
TXN-001003,1/1/2024,17:09,Dubai-Al Quoz,Brake Service,486.82,155.77,331.05,Card,Completed,2024-01,Q1,Monday
TXN-001004,1/1/2024,15:00,Dubai-Al Quoz,Oil Change,179.37,70.32,109.05,Corporate Account,Completed,2024-01,Q1,Monday
TXN-001005,1/1/2024,10:00,Dubai-Al Quoz,Wheel Alignment,144.42,55.73,88.69,Card,Completed,2024-01,Q1,Monday
TXN-001006,1/1/2024,11:27,Dubai-Al Quoz,AC Service,379.47,138.51,240.96,Card,Completed,2024-01,Q1,Monday
TXN-001007,1/1/2024,16:17,Dubai-Al Quoz,Wheel Alignment,147.67,53.75,93.92,Cash,Completed,2024-01,Q1,Monday
TXN-001008,1/1/2024,12:16,Dubai-Al Quoz,Full Service,740.93,309.16,431.77,Cash,Completed,2024-01,Q1,Monday
TXN-001009,1/1/2024,13:15,Dubai-Al Quoz,Oil Change,185.37,71.11,114.26,Online,Completed,2024-01,Q1,Monday
TXN-001010,1/1/2024,12:13,Dubai-Al Quoz,Tyre Replacement,961.47,307.35,654.12,Card,Completed,2024-01,Q1,Monday
TXN-001011,1/1/2024,16:06,Dubai-Al Quoz,Tyre Replacement,932.84,350.08,582.76,Card,Completed,2024-01,Q1,Monday
TXN-001012,1/1/2024,19:29,Dubai-Al Quoz,Tyre Replacement,949.48,398.27,551.21,Card,Completed,2024-01,Q1,Monday
TXN-001013,1/1/2024,16:46,Dubai-Al Quoz,Oil Change,193.54,65.85,127.69,Card,Completed,2024-01,Q1,Monday
TXN-001014,1/2/2024,9:37,Dubai-Al Quoz,Battery Replacement,297.42,118.61,178.81,Card,Completed,2024-01,Q1,Tuesday
TXN-001015,1/2/2024,17:21,Dubai-Al Quoz,Detailing,419.02,128.32,290.7,Cash,Completed,2024-01,Q1,Tuesday
TXN-001016,1/2/2024,9:07,Dubai-Al Quoz,Tyre Replacement,819.99,312.59,507.4,Cash,Completed,2024-01,Q1,Tuesday
TXN-001017,1/2/2024,18:35,Dubai-Al Quoz,Wheel Alignment,152.43,55.95,96.48,Cash,Completed,2024-01,Q1,Tuesday
TXN-001018,1/2/2024,12:41,Dubai-Al Quoz,Wheel Alignment,160.71,49.02,111.69,Card,Completed,2024-01,Q1,Tuesday
TXN-001019,1/2/2024,19:43,Dubai-Al Quoz,Oil Change,180.98,81.02,99.96,Cash,Completed,2024-01,Q1,Tuesday
TXN-001020,1/2/2024,18:18,Dubai-Al Quoz,Engine Diagnostics,186.73,74.64,112.09,Online,Completed,2024-01,Q1,Tuesday
TXN-001021,1/2/2024,9:36,Dubai-Al Quoz,Tyre Replacement,879.62,333.61,546.01,Online,Completed,2024-01,Q1,Tuesday
TXN-001022,1/2/2024,17:39,Dubai-Al Quoz,Oil Change,162.83,61.67,101.16,Cash,Completed,2024-01,Q1,Tuesday
TXN-001023,1/2/2024,9:21,Dubai-Al Quoz,Oil Change,172.77,52.84,119.93,Corporate Account,Completed,2024-01,Q1,Tuesday
TXN-001024,1/2/2024,8:46,Dubai-Al Quoz,Oil Change,165.86,68.92,96.94,Card,Completed,2024-01,Q1,Tuesday
TXN-001025,1/2/2024,18:13,Dubai-Al Quoz,Oil Change,166.34,72.63,93.71,Card,Completed,2024-01,Q1,Tuesday
TXN-001026,1/2/2024,8:04,Dubai-Al Quoz,Oil Change,187.06,70.9,116.16,Card,Completed,2024-01,Q1,Tuesday
TXN-001027,1/2/2024,13:49,Dubai-Al Quoz,Oil Change,168.93,59.66,109.27,Card,Completed,2024-01,Q1,Tuesday
TXN-001028,1/2/2024,18:56,Dubai-Al Quoz,Tyre Replacement,952.23,303.94,648.29,Online,Completed,2024-01,Q1,Tuesday
TXN-001029,1/2/2024,18:50,Dubai-Al Quoz,Detailing,390.6,155.27,235.33,Cash,Completed,2024-01,Q1,Tuesday
TXN-001030,1/2/2024,8:42,Dubai-Al Quoz,Oil Change,162.22,66.7,95.52,Card,Completed,2024-01,Q1,Tuesday
TXN-001031,1/2/2024,11:59,Dubai-Al Quoz,Oil Change,197.05,87.35,109.7,Card,Completed,2024-01,Q1,Tuesday
TXN-001032,1/2/2024,8:06,Dubai-Al Quoz,Oil Change,187.97,63.94,124.03,Card,Completed,2024-01,Q1,Tuesday
TXN-001033,1/2/2024,9:21,Dubai-Al Quoz,Full Service,688.79,299.17,389.62,Card,Completed,2024-01,Q1,Tuesday
TXN-001034,1/3/2024,17:53,Dubai-Al Quoz,Battery Replacement,319.9,133.17,186.73,Cash,Completed,2024-01,Q1,Wednesday
TXN-001035,1/3/2024,13:08,Dubai-Al Quoz,Brake Service,461.6,156.38,305.22,Online,Completed,2024-01,Q1,Wednesday
TXN-001036,1/3/2024,18:24,Dubai-Al Quoz,Oil Change,184.79,63.22,121.57,Card,Completed,2024-01,Q1,Wednesday
TXN-001037,1/3/2024,10:54,Dubai-Al Quoz,Engine Overhaul,3190.08,1223.71,1966.37,Card,Completed,2024-01,Q1,Wednesday
TXN-001038,1/3/2024,16:20,Dubai-Al Quoz,Brake Service,461.53,187.97,273.56,Card,Completed,2024-01,Q1,Wednesday
TXN-001039,1/3/2024,19:41,Dubai-Al Quoz,Battery Replacement,311.74,110.42,201.32,Online,Completed,2024-01,Q1,Wednesday
TXN-001040,1/3/2024,17:34,Dubai-Al Quoz,Tyre Replacement,842.39,330.69,511.7,Card,Completed,2024-01,Q1,Wednesday
TXN-001041,1/3/2024,18:19,Dubai-Al Quoz,AC Service,377.97,122.74,255.23,Cash,Completed,2024-01,Q1,Wednesday
TXN-001042,1/3/2024,19:16,Dubai-Al Quoz,AC Service,362.17,147.62,214.55,Cash,Completed,2024-01,Q1,Wednesday
TXN-001043,1/3/2024,17:58,Dubai-Al Quoz,Oil Change,167.37,54.26,113.11,Card,Completed,2024-01,Q1,Wednesday
TXN-001044,1/3/2024,18:20,Dubai-Al Quoz,Full Service,819.41,364.26,455.15,Card,Completed,2024-01,Q1,Wednesday
TXN-001045,1/3/2024,10:34,Dubai-Al Quoz,Oil Change,197.97,60.81,137.16,Card,Completed,2024-01,Q1,Wednesday
TXN-001046,1/3/2024,18:41,Dubai-Al Quoz,Brake Service,444.11,191.21,252.9,Cash,Completed,2024-01,Q1,Wednesday
TXN-001047,1/3/2024,16:11,Dubai-Al Quoz,Oil Change,172.75,64.42,108.33,Card,Completed,2024-01,Q1,Wednesday
TXN-001048,1/3/2024,10:38,Dubai-Al Quoz,Oil Change,163.98,58.98,105,Cash,Completed,2024-01,Q1,Wednesday
TXN-001049,1/4/2024,15:36,Dubai-Al Quoz,Engine Overhaul,3517.01,1075.69,2441.32,Cash,Completed,2024-01,Q1,Thursday
TXN-001050,1/4/2024,17:05,Dubai-Al Quoz,Full Service,791.33,294.06,497.27,Card,Completed,2024-01,Q1,Thursday
TXN-001051,1/4/2024,8:56,Dubai-Al Quoz,Wheel Alignment,138.3,58.89,79.41,Corporate Account,Completed,2024-01,Q1,Thursday
TXN-001052,1/4/2024,14:35,Dubai-Al Quoz,Brake Service,447,194.38,252.62,Card,Completed,2024-01,Q1,Thursday
TXN-001053,1/4/2024,12:02,Dubai-Al Quoz,Engine Diagnostics,189.51,79.82,109.69,Card,Completed,2024-01,Q1,Thursday
TXN-001054,1/4/2024,16:23,Dubai-Al Quoz,Engine Diagnostics,197.91,74.02,123.89,Card,Completed,2024-01,Q1,Thursday
TXN-001055,1/4/2024,12:58,Dubai-Al Quoz,AC Service,0,0,0,Card,Void,2024-01,Q1,Thursday
TXN-001056,1/4/2024,13:27,Dubai-Al Quoz,Suspension Repair,733.15,263.76,469.39,Card,Completed,2024-01,Q1,Thursday
TXN-001057,1/4/2024,10:12,Dubai-Al Quoz,Tyre Replacement,984.53,345.93,638.6,Cash,Completed,2024-01,Q1,Thursday
