txn_id,date,branch,txn_type,description,amount_aed,balance_aed,month,quarter,flag
WLT-09000,1/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,2954,2954,2024-01,Q1,
WLT-09001,1/1/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-95.84,2858.16,2024-01,Q1,
WLT-09002,1/1/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-53.16,2805,2024-01,Q1,
WLT-09003,1/1/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-96.35,2708.65,2024-01,Q1,
WLT-09004,1/2/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-90.03,2618.62,2024-01,Q1,
WLT-09005,1/2/2024,Dubai-Al Quoz,Expense,Parking / Toll,-31.07,2587.55,2024-01,Q1,
WLT-09006,1/3/2024,Dubai-Al Quoz,Expense,Parking / Toll,-23.71,2563.84,2024-01,Q1,
WLT-09007,1/6/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-329.37,2234.47,2024-01,Q1,
WLT-09008,1/6/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-385.28,1849.19,2024-01,Q1,
WLT-09009,1/7/2024,Dubai-Al Quoz,Expense,Small Tools,-200,1649.19,2024-01,Q1,Round-Number Review
WLT-09010,1/7/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.57,1608.62,2024-01,Q1,
WLT-09011,1/8/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-54.22,1554.4,2024-01,Q1,
WLT-09012,1/9/2024,Dubai-Al Quoz,Expense,Parking / Toll,-27.6,1526.8,2024-01,Q1,
WLT-09013,1/10/2024,Dubai-Al Quoz,Expense,Parking / Toll,-26.7,1500.1,2024-01,Q1,
WLT-09014,1/11/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-53.02,1447.08,2024-01,Q1,
WLT-09015,1/11/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-38.26,1408.82,2024-01,Q1,
WLT-09016,1/13/2024,Dubai-Al Quoz,Expense,Parking / Toll,-21.28,1387.54,2024-01,Q1,
WLT-09017,1/13/2024,Dubai-Al Quoz,Expense,Parking / Toll,-25.49,1362.05,2024-01,Q1,
WLT-09018,1/14/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-41.03,1321.02,2024-01,Q1,
WLT-09019,1/15/2024,Dubai-Al Quoz,Expense,Parking / Toll,-50,1271.02,2024-01,Q1,Round-Number Review
WLT-09020,1/16/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-73.02,1198,2024-01,Q1,
WLT-09021,1/17/2024,Dubai-Al Quoz,Expense,Small Tools,-153.04,1044.96,2024-01,Q1,
WLT-09022,1/17/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-284.92,760.04,2024-01,Q1,
